mechanism,benchmark,n_procs,msg_size_bytes,placement,iterations,avg_ns,p50_ns,p99_ns,min_ns,max_ns,throughput_msg_s,throughput_MB_s
mq_posix,pairs_n1,2,64,unspecified,5000,3905.8,3757.0,5255.0,3672.0,57487.0,0,0.000
mq_posix,pairs_n2,4,64,unspecified,10000,5216.2,5104.0,8321.0,3712.0,713267.0,0,0.000
mq_posix,pairs_n4,8,64,unspecified,20000,5115.4,4889.0,7348.0,3827.0,722304.0,0,0.000
mq_posix,pairs_n8,16,64,unspecified,40000,7262.7,5345.0,16320.0,3857.0,1508433.0,0,0.000
