mechanism,benchmark,n_procs,msg_size_bytes,placement,iterations,avg_ns,p50_ns,p99_ns,min_ns,max_ns,throughput_msg_s,throughput_MB_s
mq_posix,throughput,2,8,unspecified,100000,609.4,0.0,0.0,0.0,0.0,1641075,12.520
mq_posix,throughput,2,64,unspecified,100000,616.1,0.0,0.0,0.0,0.0,1623057,99.064
mq_posix,throughput,2,256,unspecified,100000,719.6,0.0,0.0,0.0,0.0,1389635,339.266
mq_posix,throughput,2,1024,unspecified,100000,944.0,0.0,0.0,0.0,0.0,1059338,1034.510
